col_ID,Target,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
A43,15,69,48,31,17,0,15,0,5,8,104,6,7,60,43,40,18,11,4,11,4,2,4,85,3
A44,4,46,25,54,21,2,22,22,9,17,104,7,6,54,40,46,9,16,11,28,52,4,5,74,6
A45,6,52,34,48,28,1,6,1,2,7,89,4,4,65,50,35,18,12,2,12,2,4,7,110,6
A46,9,63,39,37,19,6,9,6,5,12,95,6,7,72,47,28,12,10,5,10,5,0,2,74,4
A47,18,57,63,43,34,9,54,68,11,26,173,7,4,67,67,33,22,11,2,39,73,7,20,158,5
A48,12,69,33,31,11,2,32,13,7,13,84,6,6,61,28,39,6,6,3,23,33,0,0,49,1
A49,29,57,52,43,25,1,55,39,1,2,107,7,3,64,62,36,23,16,3,46,29,4,8,122,6
A50,1,82,37,18,7,1,1,1,8,18,95,6,6,61,28,39,10,8,5,8,5,1,2,55,2
A51,34,54,60,46,25,13,71,52,6,8,133,6,6,53,45,47,31,12,5,38,36,3,7,114,3
A52,24,57,54,43,22,6,58,25,3,12,117,7,6,59,47,41,20,12,3,36,14,1,4,97,6
A53,10,58,54,42,28,9,10,9,0,0,105,7,4,57,55,43,30,14,4,14,4,4,8,133,6
A54,1,63,32,37,12,3,1,3,3,7,76,3,2,62,33,38,11,9,5,9,5,9,19,101,6
A55,8,55,44,45,22,6,36,59,1,6,103,6,6,66,60,34,23,9,4,24,34,2,6,121,7
A56,21,64,56,36,17,7,48,29,7,20,127,7,6,56,43,44,25,5,5,22,33,3,6,96,6
A57,14,61,69,39,29,9,46,63,3,9,147,3,7,66,68,34,25,6,6,44,50,7,15,167,6
A58,7,61,53,39,30,7,28,57,5,10,141,6,7,61,55,39,22,2,10,41,88,4,8,126,4
A59,11,67,56,33,18,6,38,56,1,4,106,7,6,73,58,27,16,0,5,34,33,2,7,124,6
A60,17,59,72,41,40,5,67,59,7,18,175,7,6,51,76,49,38,23,5,54,61,7,13,178,6
A61,2,62,42,38,17,1,19,23,0,0,76,4,4,64,43,36,18,9,5,43,27,3,4,95,6
A62,6,49,51,51,36,8,6,8,2,12,138,6,7,50,54,50,43,16,12,16,12,4,10,146,7
A63,8,54,55,46,36,9,54,45,3,5,135,7,0,59,56,41,23,20,5,53,47,4,9,135,6
A64,5,62,14,38,6,1,13,5,1,1,30,6,6,71,15,29,3,3,1,13,7,0,0,24,4
A65,3,52,28,48,17,7,14,39,0,0,59,0,4,66,36,34,17,12,2,30,11,5,6,93,6
A66,5,53,45,47,26,5,31,44,3,10,106,6,6,54,47,46,36,14,1,46,34,5,8,127,7
A67,19,72,45,28,11,4,30,21,5,9,88,6,6,46,23,54,21,7,4,19,41,1,3,59,2
A68,9,58,62,42,30,12,51,60,5,15,144,7,6,65,57,35,23,3,5,24,37,2,16,134,5
A69,6,77,48,23,11,1,39,43,4,5,97,6,4,58,41,42,21,9,5,33,37,6,11,110,7
A70,17,58,61,42,38,3,66,25,4,13,159,6,6,62,68,38,27,14,6,64,65,1,11,138,3
A71,8,68,64,32,19,3,30,43,3,11,121,6,6,60,59,40,31,13,3,46,47,4,5,132,3
A72,9,56,57,44,31,4,61,46,6,17,142,6,6,60,56,40,25,1,3,26,37,2,7,117,3
A73,5,55,44,45,25,1,32,73,5,10,113,6,7,68,56,32,18,0,4,32,48,9,17,142,7
A74,22,60,74,40,30,10,76,73,5,14,164,7,7,71,81,29,22,15,2,43,36,4,12,160,5
A75,11,79,71,21,20,1,57,28,3,11,149,6,6,67,76,33,25,15,5,63,47,3,11,151,4
A76,14,55,55,45,36,5,48,46,3,7,126,4,6,60,59,40,33,19,3,48,41,4,11,136,6
A77,11,57,49,43,28,2,11,2,7,17,130,7,6,51,46,49,26,9,10,9,10,4,13,117,6
A78,15,65,43,35,18,5,30,22,3,5,87,6,6,59,34,41,16,10,3,28,21,0,2,69,4
A79,7,51,36,49,26,6,33,27,3,5,95,4,4,55,39,45,20,13,2,37,43,3,7,91,6
A80,5,64,37,36,15,4,29,13,5,8,93,6,6,63,33,37,10,8,9,29,32,0,0,57,4
A81,6,62,32,38,18,3,14,21,1,2,72,2,1,76,45,24,9,11,0,52,35,6,11,103,6
A82,12,60,67,40,34,18,56,71,6,10,156,6,6,68,62,32,26,2,4,24,51,5,17,146,7
A83,15,50,50,50,32,7,15,7,7,15,156,6,6,49,65,51,41,7,8,7,8,10,12,171,4
A84,14,64,51,36,18,6,47,28,3,9,110,7,6,45,31,55,34,9,5,19,29,1,4,88,6
A85,12,63,66,37,24,8,12,8,3,4,123,4,3,58,49,42,34,16,5,16,5,5,14,139,6
A86,13,58,56,42,30,8,43,28,6,17,143,7,6,58,50,42,24,12,6,46,63,2,7,112,6
A87,6,68,47,32,17,3,29,25,2,4,93,4,6,62,45,38,23,8,3,43,24,4,11,108,6
A88,5,59,35,41,17,5,25,31,8,17,106,6,6,55,25,45,20,2,7,22,55,3,4,68,2
A89,12,69,88,31,23,6,72,59,5,8,162,4,6,72,76,28,21,28,2,53,41,4,17,152,6
A90,32,50,68,50,47,5,78,45,7,24,188,6,6,66,86,34,27,24,11,59,74,2,10,159,7
A91,2,70,47,30,19,2,23,46,2,4,95,3,3,59,49,41,18,15,7,36,35,5,21,117,6
A92,27,64,57,36,23,2,63,36,2,6,116,7,6,67,55,33,22,6,1,23,23,0,5,101,6
A93,7,70,37,30,8,3,17,49,1,5,68,1,1,64,43,36,15,5,3,30,27,6,12,104,6
A94,12,57,57,43,33,10,47,65,6,18,165,4,6,61,71,39,29,6,15,47,78,6,15,158,6
A95,5,58,48,42,23,9,34,37,1,1,92,6,5,62,47,38,23,13,3,39,30,4,11,117,7
A96,7,74,45,26,11,1,39,19,5,10,91,6,6,67,33,33,10,4,3,21,24,0,3,61,2
A97,5,65,41,35,10,1,14,26,1,1,71,3,3,63,38,37,20,6,1,31,23,5,8,93,6
A98,9,60,41,40,26,3,43,26,4,10,108,7,6,63,43,37,19,10,1,27,41,1,4,86,5
A99,16,65,70,35,21,3,51,38,3,7,140,2,7,62,61,38,28,4,5,62,34,3,9,137,6
A100,8,58,44,42,17,8,30,51,1,3,87,2,6,72,44,28,17,2,1,22,24,5,11,111,6
A101,17,68,42,32,15,0,38,7,5,11,98,7,6,53,34,47,18,3,7,34,44,0,1,63,5
A102,27,67,77,33,26,6,82,69,3,12,164,3,4,74,94,26,20,8,4,43,34,3,7,162,6
A103,13,57,37,43,19,1,32,26,5,9,93,6,6,44,25,56,17,5,6,21,34,0,2,58,4
A104,3,69,38,31,10,5,27,33,0,5,66,2,2,62,39,38,16,6,1,35,18,5,14,98,6
A105,17,66,49,34,20,0,40,29,3,6,94,7,6,53,34,47,22,7,3,21,25,0,3,79,6
A106,7,72,54,28,11,5,35,23,4,10,105,6,7,53,32,47,21,6,4,36,38,0,3,75,0
A107,6,64,50,36,16,2,29,30,4,11,106,7,6,57,39,43,20,8,7,31,44,1,1,84,6
A108,13,58,30,42,10,3,31,59,2,7,65,2,1,83,46,17,7,4,1,21,23,7,20,96,6
A109,21,59,55,41,30,5,50,39,1,3,107,3,6,60,55,40,33,15,5,49,13,2,4,128,6
A110,1,64,23,36,7,5,17,32,1,4,56,5,1,54,29,46,21,3,1,30,27,8,12,93,7
A111,2,67,38,33,20,0,21,18,6,12,107,6,6,69,39,31,10,10,5,33,57,0,6,70,1
A112,3,59,32,41,13,7,20,44,0,0,55,3,0,72,38,28,12,7,2,33,21,6,22,96,6
A113,14,56,54,44,24,3,57,37,2,5,118,6,7,71,53,29,14,1,0,24,22,1,4,96,3
A114,4,61,52,39,27,3,33,49,3,11,118,7,5,63,55,37,24,3,1,64,43,9,19,153,6
A115,4,52,33,48,21,3,38,17,5,17,92,6,6,72,40,28,9,16,1,31,30,0,0,66,2
A116,8,52,32,48,23,1,29,28,0,1,72,3,5,57,42,43,25,7,1,43,21,3,7,100,6
A117,8,62,59,38,25,3,48,47,7,14,137,6,6,51,39,49,22,3,8,33,56,1,6,103,1
A118,11,60,57,40,21,3,38,34,4,5,114,6,3,64,44,36,22,5,1,27,45,1,5,100,3
A119,12,71,67,29,14,1,36,28,5,8,129,7,7,66,51,34,16,2,1,36,51,4,10,110,6
A120,17,58,71,42,36,5,51,60,5,10,153,2,6,73,75,27,23,7,1,45,60,4,7,161,6
A121,10,52,52,48,27,4,43,62,5,13,128,6,6,61,46,39,23,2,1,30,46,3,12,119,1
A122,9,61,60,39,28,1,41,46,1,2,121,3,4,64,61,36,28,10,0,54,42,4,17,147,6
A123,3,73,66,27,22,7,42,47,4,11,147,3,7,58,64,42,32,16,5,54,61,3,6,132,6
A124,21,62,71,38,30,7,60,49,0,1,142,3,7,61,72,39,32,18,4,57,49,1,4,143,6
A125,3,65,41,35,22,1,28,25,4,14,105,7,6,66,45,34,18,8,1,34,50,1,2,86,6
A126,1,78,50,22,10,3,19,32,2,6,88,3,2,55,46,45,22,19,2,53,49,5,15,116,6
