col_ID,Distance,MaxSpeed,AvgSpeed,AvgMovingSpeed,Target,MovingTime
A75,50.58,125,104.4,106.2,29.1,28.6
A76,51.28,120.5,83,89.5,37.1,34.4
A77,51.77,125.6,82.4,89.5,37.7,34.7
A78,51.75,127.9,74.6,81.7,41.6,38
A79,52.87,123.5,65.1,72.4,48.7,43.8
A80,51.75,127.4,72.1,82,43.1,37.8
A81,51.06,126.5,71.6,78.6,42.8,39
A82,50.64,129,106.6,112.1,28.5,27.1
A83,51.33,125.2,72.5,79.6,42.5,38.7
A84,51.74,124.5,68.9,79.2,45,39.2
A85,51.3,126.2,63.4,73.3,48.6,42
A86,51.68,130.2,75.7,81.6,41,38
A87,51.36,133.1,69.5,79.1,44.4,38.9
A88,51.74,130.8,80.8,85.2,38.4,36.5
A89,51.3,127.3,78.6,82.9,39.1,37.1
A90,50.61,137.1,93.7,100.3,32.4,30.3
A91,50.66,128.3,105.5,111.3,28.8,27.3
A92,51.4,114.4,59.7,65.8,51.7,46.9
A93,50.58,128.4,59.5,67.3,51,45.1
A94,51.52,135.1,67.3,78.4,46,39.5
A95,48.94,130.8,85.7,93.2,34.3,31.5
A96,51.02,124.8,80.4,88.9,38.1,34.4
A97,50.68,128.3,101.9,107.2,29.9,28.4
A98,51.29,126,73.3,76.3,42,40.3
A99,50.63,125.6,38.5,103.8,30.8,29.3
A100,51.31,127.5,69.5,75.5,44.3,40.8
A101,50.59,128.5,103.4,108,29.4,28.1
A102,51.15,128.8,76,85.2,40.4,36
A103,50.67,127.3,94.9,97.9,32,31.1
A104,51.22,126.7,81.2,86.4,37.8,35.6
A105,50.65,127.4,91.1,95.2,33.4,31.9
A106,51.39,128.4,65.3,71.9,47.2,42.9
A107,50.65,122.8,83.5,86.9,36.4,35
A108,51.23,124.9,79.2,81.5,38.8,37.7
A109,50.65,128.8,102.2,105.7,29.7,28.7
A110,51.11,130.1,69.8,75.6,44,40.6
A111,50.65,128.1,86.3,88.6,35.2,34.3
A112,50.69,132.3,97.2,103.6,31.3,29.3
A113,50.65,129.4,88.2,91.3,34.4,33.3
A114,51.11,124.8,74.3,79.6,41.3,38.5
A115,50.67,130,97.6,101.6,31.1,29.9
A116,51.74,133.3,82.9,89.2,37.4,34.8
A117,49.16,128.7,59.5,68,49.6,43.4
A118,51.23,127.2,71.7,76.9,42.9,40
A119,51.69,128.7,70.4,70.1,44.1,39.7
A120,51.3,123.9,69.6,75.2,44.2,40.9
A121,49.09,123.7,69.4,79.1,42.4,37.3
A122,51.13,127.5,69,75.9,44.4,40.4
A123,50.67,129.3,99,103.3,30.7,29.4
A124,51.77,127,71.1,79.6,43.7,39
A125,50.54,126.8,98.7,103.7,30.7,29.3
A126,51.58,134.3,70,80,44.2,38.7
A127,49.12,129.1,52.7,63.2,55.9,46.6
A128,51.43,131.1,75.1,79.5,40.6,38.8
A129,49.12,127.5,65.7,73.1,44.8,40.3
A130,50.92,137,66.9,77.7,45.6,39.3
A131,49.25,124.7,53.5,63.1,55.2,46.9
A132,51.34,132.8,71.5,76.6,43.1,40.2
A133,49.08,125.1,56.5,66.5,52.1,44.3
A134,52.88,131.6,95.4,98.3,33.3,32.3
A135,54.36,132.5,95.1,98,34.3,33.3
A136,51.17,129.7,77.7,87.9,39.5,34.9
A137,51.65,132.7,82.6,91.4,37.5,33.9
A138,52.42,128.9,81.6,88,38.5,35.7
A139,49.13,126.8,67.3,73.9,43.8,39.9
A140,51.15,140.9,71.5,79.5,42.9,38.6
A141,49.07,127.7,65.9,77.3,44.7,38.1
A142,51.66,138,67.1,73.2,46.2,42.4
A143,49.04,133.5,69.1,77.8,42.6,37.8
A144,51.04,131,75.5,84.1,40.5,36.4
A145,49.15,124,63.9,74,46.1,39.9
A146,50.88,132.7,81.1,86.9,37.6,35.2
A147,49.01,129.1,76.3,83.3,38.6,35.3
A148,51.23,132.8,64.2,70.6,47.9,43.5
A149,50.45,133.5,106.8,111.1,28.3,27.3
A150,51.01,132.9,79.6,86.1,38.5,38.5
A151,49.07,127.1,58.5,71.5,50.3,41.1
A152,51.22,129.7,79.7,84.5,38.5,36.4
A153,49.2,124.5,71,76.7,41.6,38.5
A154,51.12,126.8,77.9,85.2,39.6,36
A155,49.18,123.8,65.6,73.3,45,40.2
A156,51.09,126.5,78.1,81.6,39.3,37.6
A157,49.18,123,72,81.4,41,36.3
A158,50.97,129.6,66.6,76.2,45.9,40.2
A159,52.26,137.7,51.2,64.1,61.2,48.9
A160,51.11,129.8,68.9,75.7,44.5,40.5
A161,49.1,124.8,67.9,76.2,43.4,38.7
A162,51.14,133.4,82.4,87,37.2,35.3
A163,49.14,131.7,75,80.2,39.3,36.7
A164,51.11,132.3,78,83.7,39.3,36.7
A165,49.2,124.7,71.3,75.7,41.4,39
A166,55.57,127.7,69.6,77.1,47.9,43.2
A167,49.02,128.4,76.7,82.9,38.4,35.5
A168,51.18,133.6,80.7,86,38,35.7
A169,48.99,125.5,68.3,79.5,43,37
A170,51.03,127.4,73.5,79.3,41.7,38.6
A171,48.98,124.8,72.8,78.8,40.4,37.3
A172,51.15,127.1,72.1,82.3,42.5,37.3
A173,49.08,134.8,60.5,67.2,48.7,43.8
A174,52.35,127.5,76.9,84.2,40.9,37.3
A175,49.25,126.3,68.5,78.2,43.1,37.8
A176,51.94,126.7,74.5,82.6,41.9,37.7
A177,49.13,123.9,74.1,79.9,39.8,36.9
A178,50.96,131.9,70.3,78.5,43.5,38.9
A179,49.12,122.4,71.5,77.3,41.2,38.2
A180,51.64,125,72.2,78.7,42.9,39.4
A181,49.06,121.9,71.5,78.7,41.2,37.4
A182,51.16,124.2,76.3,83.2,40.2,36.9
A183,53.48,124.9,68.8,78.8,46.7,40.7
A184,50.68,135.6,107.7,110.4,28.2,27.6
A185,49.07,121.1,73.2,77.7,40.2,37.9
A186,51.09,128.5,76,84.8,40.3,36.2
A187,49.11,120.1,69.1,73.1,42.6,40.3
A188,50.98,124.9,68.3,71.9,44.8,42.6
A189,48.82,124.5,70.4,77.8,41.6,37.6
A190,51.28,122.1,43.7,51.5,70.5,59.8
A191,49.16,122.6,71.9,76.8,41,38.4
A192,51.05,126.6,70.4,78.8,51.1,38.9
A193,48.32,121.2,63.4,78.4,45.7,37
A194,51.24,126.3,75.8,81.8,40.6,37.6
A195,51.05,123.3,88.9,96.7,34.5,31.7
A196,48.35,129.3,81.5,89,35.6,32.6
A197,53.47,124,58.6,71,54.8,45.2
A198,48.5,125.8,75.7,87.3,38.5,33.3
A199,51.16,126.7,92.2,102.6,33.3,29.9
A200,50.96,124.3,82.3,96.4,37.2,31.7
A201,54.52,125.6,49.9,82.4,65.5,39.7
A202,50.9,123.7,76.2,95.1,40.1,32.1
A203,51.96,132.6,57.5,76.7,54.2,40.6
A204,53.28,125.8,61.6,87.6,51.9,36.5
A205,51.73,125,62.8,92.5,49.5,33.6
